,KEY,ID RESTAURANT,GRADE,CAMIS,DBA,Latitude,Longitude,Cluster,Data Source,PREDICTED_SCORE,Exponential Smoothed Score,Probabilistic risk Score,i1,i2,i3,i4,i5,v1,v2,v3,v4,v5,Number of Inspections,LAST VIOLATIONS,inspection_date_1,inspection_date_2,inspection_date_3,inspection_date_4,inspection_date_5,LAST INSPECTION
21000,50140185-20231010,50140185,A,50140185,KENNEDY CHICKEN AND GRILL,40.85336466,-73.93075476,3,Test,9.940121461,9.940121461,11.26899352,10,,,,,"04L,08A",,,,,1,"04L,08A",20231010,,,,,20231010
21001,50140192-20230825,50140192,A,50140192,BIRCH COFFEE,40.71052627,-74.00935303,5,Test,7.362919515,7.362919515,8.347251354,7,,,,,"06F,10B",,,,,1,"06F,10B",20230825,,,,,20230825
21002,50140202-20230828,50140202,A,50140202,PEPE JOE'S PIZZA,40.82071011,-73.91766996,0,Test,10.3996766,10.45075022,11.84788707,10,,,,,"02G,10F",,,,,1,"02G,10F",20230828,,,,,20230828
21003,50140224-20230911,50140224,A,50140224,SWEET CAKE,40.76319219,-73.83094856,1,Test,15.54515957,15.54515957,17.62335634,13,,,,,"02F,06C,10F",,,,,1,"02F,06C,10F",20230911,,,,,20230911
21004,50140252-20230919,50140252,A,50140252,KOTTI BERLINER DONER KEBAB,40.7509267,-74.00595522,5,Test,12.56145781,12.56145781,14.24077033,13,,,,,"04A,10H",,,,,1,"04A,10H",20230919,,,,,20230919
21005,50140282-20230822,50140282,A,50140282,NATHAN'S FAMOUS,40.86590541,-73.83042975,0,Test,2.783646179,2.772328623,3.142954884,4,,,,,10F,,,,,1,10F,20230822,,,,,20230822
21006,50140292-20231012,50140292,A,50140292,TACOS POR FAVOR,40.62480463,-74.02453581,3,Test,10.51831913,10.51831913,11.92448911,10,,,,,"04N,08A",,,,,1,"04N,08A",20231012,,,,,20231012
21007,50140298-20230928,50140298,A,50140298,ANGEL'S CAFE,40.85372943,-73.88299526,0,Test,10.27535107,10.30672122,11.68460316,13,,,,,"02B,10F",,,,,1,"02B,10F",20230928,,,,,20230928
21008,50140303-20231213,50140303,A,50140303,FIVE GUYS,40.77772849,-73.77924971,5,Test,7.031740276,7.031740276,7.971797522,5,,,,,04J,,,,,1,04J,20231213,,,,,20231213
21009,50140347-20230901,50140347,A,50140347,VALENTINA'S BAKERY & COFFEE SHOP,40.70747167,-73.78856538,3,Test,12.16503652,12.16503652,13.79135238,13,,,,,"04L,08A,10F",,,,,1,"04L,08A,10F",20230901,,,,,20230901
21010,50140364-20230906,50140364,A,50140364,PAULO'S PIZZA,40.66294225,-73.98485772,5,Test,2.090673469,2.090673469,2.370170815,2,,,,,10D,,,,,1,10D,20230906,,,,,20230906
21011,50140367-20230914,50140367,A,50140367,ROTI PARADISE RESTAURANT,40.71548095,-73.74783496,0,Test,4.894065196,4.9645976,5.628303279,4,,,,,"10B,10F",,,,,1,"10B,10F",20230914,,,,,20230914
21012,50140379-20230828,50140379,A,50140379,DUNKIN DONUTS,40.76773572,-73.86479655,5,Test,4.307545982,4.307545982,4.883411934,5,,,,,"08C,10B",,,,,1,"08C,10B",20230828,,,,,20230828
21013,50140381-20231013,50140381,A,50140381,EMPIRE RESTAURANT,40.81925592,-73.94079464,0,Test,10.3996766,10.45075022,11.84788707,10,,,,,"02G,10F",,,,,1,"02G,10F",20231013,,,,,20231013
21014,50140400-20231023,50140400,B,50140400,OLE & STEEN,40.77959546,-73.95551872,3,Test,21.77971022,21.77971022,24.69138977,24,,,,,"04N,06C,08A,09B,10B",,,,,1,"04N,06C,08A,09B,10B",20231023,,,,,20231023
21015,50140402-20231115,50140402,A,50140402,LOBSTER PLACE CULL & PISTOL,40.74186904,-74.00471301,3,Test,12.90852587,12.90852587,14.63423712,13,,,,,"04N,08A,09C",,,,,1,"04N,08A,09C",20231115,,,,,20231115
21016,50140452-20231026,50140452,A,50140452,BOCA CHICA SEAFOOD,40.86696932,-73.92076161,0,Test,10.27535107,10.30672122,11.68460316,10,,,,,"02B,10F",,,,,1,"02B,10F",20231026,,,,,20231026
21017,50140474-20231120,50140474,A,50140474,UNI THAI BISTRO,40.64564799,-73.97312502,3,Test,15.08280517,15.08280517,17.09919083,13,,,,,"04L,04N,10G,10H",,,,,1,"04L,04N,10G,10H",20231120,,,,,20231120
21018,50140487-20230927,50140487,A,50140487,KENNEDY FRIED CHICKEN & PIZZA,40.68692725,-73.93883567,3,Test,12.90852587,12.90852587,14.63423712,12,,,,,"04N,08A,09C",,,,,1,"04N,08A,09C",20230927,,,,,20230927
21019,50140517-20240116,50140517,A,50140517,LILLI RESTAURANT,40.63943696,-73.92907874,0,Test,2.783646179,2.772328623,3.142954884,2,,,,,10F,,,,,1,10F,20240116,,,,,20240116
21020,50140575-20230906,50140575,A,50140575,POKEBAB,40.7169447,-73.95865943,0,Test,12.67898491,12.26368506,13.90318901,11,,,,,"02G,08C,10F",,,,,1,"02G,08C,10F",20230906,,,,,20230906
21021,50140620-20240117,50140620,A,50140620,YARD POT,40.66300408,-73.95087133,3,Test,12.3303282,12.3303282,13.97874153,13,,,,,"04L,08A,09C",,,,,1,"04L,08A,09C",20240117,,,,,20240117
21022,50140702-20240119,50140702,A,50140702,DUNKIN,0,0,5,Test,12.44368655,12.44368655,14.10725449,13,,,,,"04H,06A",,,,,1,"04H,06A",20240119,,,,,20240119
21023,50140721-20230925,50140721,A,50140721,BANGKOK SUPPER CLUB,40.73900073,-74.005467,1,Test,10.64124574,10.64124574,12.06384951,11,,,,,"06C,10B,10F",,,,,1,"06C,10B,10F",20230925,,,,,20230925
21024,50140743-20231011,50140743,A,50140743,RED KUP,40.82417368,-73.94466361,5,Test,4.312889651,4.312889651,4.889469987,4,,,,,"10A,10B",,,,,1,"10A,10B",20231011,,,,,20231011
21025,50140747-20230821,50140747,A,50140747,KING WOK,40.72902352,-74.00524608,6,Test,9.758154264,9.758154264,11.06269955,10,,,,,"02B,08C",,,,,1,"02B,08C",20230821,,,,,20230821
21026,50140762-20230918,50140762,A,50140762,ANGELINA BAKERY,40.68675158,-73.97555308,0,Test,12.3921422,12.39496927,14.05202431,12,,,,,"04A,10F",,,,,1,"04A,10F",20230918,,,,,20230918
